Gr. Nr.,Ebene,Gruppierung,Domain
14/02/12,Stamm,"Varel, Stella Maris",dpsg-varel.de
14/02/13,Stamm,"Goldenstedt-Ellenstedt, St. Heinrich",-
14/02/16,Stamm,"Barssel, St. Franziskus",-
14/02/17,Stamm,"Bakum, St. Johannes",-
14/02/18,Stamm,"Lindern, Philipp Neri",dpsg-lindern.de
14/03/00,Bezirk,"Bezirk Borken",dpsg-borken.de
14/03/01,Stamm,"Rhede",dpsg-rhede.de
14/03/02,Stamm,"Bocholt, St. Josef",-
14/03/04,Stamm,"Bocholt, St. Norbert",norbert-pfadis.de
14/03/05,Stamm,"Bocholt, Hl. Kreuz",pfadfinder-heilig-kreuz.de
14/03/06,Stamm,"Borken, St. Remigius",-
14/03/07,Stamm,"Epe, St. Antonius",-
14/03/09,Stamm,"Velen-Ramsdorf",-
14/03/10,Stamm,"Isselburg",schwarzzeug.net
14/03/11,Stamm,"Ahaus, St. Marien",dpsg-ahaus.de
14/03/13,Stamm,"Stadtlohn",-
14/03/16,Stamm,"Schöppingen",dpsg-schoeppingen.de
14/03/24,Stamm,"Gescher, St. Pankratius",dpsg-gescher.de
14/04/00,Bezirk,"Bezirk Recklinghausen",dpsg-recklinghausen.de
14/04/01,Stamm,"Marl-Sinsen, Vasco da Gama",dpsgmarl-sinsen.de
14/04/02,Stamm,"DPSG Hillerheide",dpsg-hillerheide.de
14/04/05,Stamm,"Dorsten, St. Johannes",-
14/04/06,Stamm,"Recklinghausen, Liebfrauen-Ost",dpsg-re-liebfrauen-ost.de
14/04/09,Stamm,"DPSG St. Agatha Dorsten",-
14/04/11,Stamm,"Recklinghausen-Nord, St. Elisabeth",re-nord.de
14/04/12,Stamm,"Marl- Lenkerbeck, St. Marien",-
14/04/16,Stamm,"Marl-Sickingmühle, Christ König",dpsg-marl-sickingmuehle.de
14/04/17,Stamm,"Recklinghausen-Hochlar",dpsg-hochlar.de
14/04/18,Stamm,"Oer-Erkenschwick",dpsg-o-e.de
14/04/19,Stamm,"Dorsten-Wulfen-Barkenberg, St. Barbara",-
14/04/20,Stamm,"Bottrop-Grafenwald, Hl. Familie",pfadfinder-grafenwald.de
14/04/21,Stamm,"Dorsten, St. Bonifatius",dpsg-st-bonifatius.de
14/04/22,Stamm,"Waltrop",pfadfinder-waltrop.de
14/04/23,Siedlung,"Haltern am See",dpsg-haltern.de
14/05/00,Bezirk,"Bezirk Steinfurt",dpsg-steinfurt.de
14/05/02,Stamm,"Saerbeck, St. Georg",dpsg-saerbeck.de
14/05/03,Stamm,"Emsdetten, St. Pankratius",-
14/05/04,Stamm,"Burgsteinfurt, St.Johannes Nepomuk",dpsg-burgsteinfurt.de
14/05/06,Stamm,"Nordwalde, St. Dionysius",dpsg-nordwalde.de
14/05/07,Stamm,"Wettringen, St. Petronilla",pfadfinder-wettringen.de
14/05/09,Stamm,"Mettingen, TüöttenStamm",dpsg-mettingen.de
14/05/10,Stamm,"Greven, St. Josef",dpsg-greven.de
14/05/14,Stamm,"Stamm Ladbergen",-
14/05/16,Stamm,"Tecklenburg, St. Michael",dpsg-tecklenburg.de
14/05/17,Stamm,"Greven-Reckenfeld",-
14/06/00,Bezirk,"Bezirk Warendorf",-
14/06/03,Stamm,"Ostbevern, St. Ambrosius",dpsg-ostbevern.de
14/06/04,Stamm,"Drensteinfurt",dpsg-drensteinfurt.de
14/06/05,Stamm,"Warendorf",dpsg-waf.de
14/06/08,Stamm,"Ahlen/Westf.",dpsg-ahlen.de
14/06/09,Stamm,"Oelde, Der kleine Bach",dpsg-oelde.de
14/06/10,Stamm,"Beckum, St. Stephanus",dpsg-beckum.de
14/06/11,Stamm,"Ennigerloh, Enniger",dpsg-enniger.de
14/06/13,Stamm,"Drensteinfurt-Rinkerode, St. Pankratius",-
14/06/14,Stamm,"Hamm-Bockum-Hövel, Impeesa-HeiligGeist",stamm-impeesa.de
14/06/15,Stamm,"Sendenhorst, St. Martinus",pfadfinder-sendenhorst.de
14/07/00,Bezirk,"Bezirk Münster",bezirk-muenster.de
14/07/01,Stamm,"Münster-Gievenbeck, St. Michael",dpsg-gievenbeck.de
14/07/02,Stamm,"Münster-Handorf, St. Petronilla",dpsg-handorf.de
14/07/03,Stamm,"DPSG St. Liutger",kreuz-pfadfinder.de
14/07/04,Stamm,"Münster-Wolbeck, Don Bosco",donboscowolbeck.de
14/07/06,Stamm,"Münster, Gremmendorf",dpsg-stamm-gremmendorf.de
14/07/07,Stamm,"Münster-Hiltrup, Rochus Spiecker",dpsg-hiltrup.de
14/07/09,Stamm,"St. Anna Mecklenbeck Albachten Roxel Aaseestadt, Münster",dpsg-st-anna.de
14/07/12,Stamm,"Münster, St. Franziskus",dpsg-sfm.de
14/07/17,Stamm,"Herz-Jesu Münster",dpsg-herz-jesu-muenster.de
14/08/00,Bezirk,"Bezirk Niederrhein-Süd",bezirk-nrs.de
14/08/01,Stamm,"Moers-Wesel, St. Josef",dpsg-moers.de
14/08/04,Stamm,"Duisburg-Homberg, Hochheide",
14/08/06,Stamm,"Duisburg-Rheinhausen, Christus König",dpsg-ck.de
14/08/07,Stamm,"Dinslaken, St. Vincentius",dpsg-din.de
14/08/11,Stamm,"Duisburg, St. Ludger",-
14/08/12,Stamm,"Friedrichsfeld, St. Elisabeth",-
14/08/13,Stamm,"Rheinberg, St. Anna, Phönix",phoeniximweb.de
14/08/14,Stamm,"Kamp-Lintfort, St. Marien",-
14/08/15,Stamm,"Voerde-Spellen, Sankt Peter Spellen",-
14/09/00,Bezirk,"Bezirk Coesfeld",dpsg-bezirk-coesfeld.de
14/09/01,Stamm,"Dülmen, Heilig Kreuz",dpsg-duelmen.de
14/09/02,Stamm,"Nordkirchen",dpsg-nordkirchen.de
14/09/03,Stamm,"Lüdinghausen",dpsg-lh.de
14/09/04,Stamm,"Lette, St. Johannes",dpsg-pfadfinder-lette.de
14/09/05,Stamm,"Nottuln, St. Martin",dpsg-nottuln.de
14/09/08,Stamm,"Selm, St. Josef",pfadfinder-selm.de
14/09/10,Stamm,"Senden",dpsg-senden.de
14/09/11,Stamm,"Olfen, St. Vitus",dpsg-olfen.org
14/09/13,Stamm,"Coesfeld",dpsg-coesfeld.de
15/00/00,Diözese,"Diözesanverband Osnabrück",dpsg-os.de
15/00/01,Stamm,"Pfadwind",pfadwind.de
15/00/02,Siedlung,"Borkum, Nordlichter",-
15/01/02,Stamm,"Haren, Nordlicht Altharen",dpsg-altharen.de
15/01/04,Stamm,"Papenburg",-
15/01/13,Stamm,"Haselünne-Lehrte, St. Vincentius",dpsg-haseluenne.de
15/01/15,Stamm,"Haren, Franziskus",pfadfinder-haren.de
15/01/23,Stamm,"Nordhorn, St. Marien",dpsg-nordhorn.de
15/04/01,Stamm,"Melle-Gesmold, Horizonte",-
15/04/02,Stamm,"Osnabrück, Rosenkranz",-
15/04/04,Stamm,"Holzhausen-Ohrbeck",dpsg-holzhausen.de
15/04/07,Stamm,"Oesede, Hl. Geist",dpsg-oesede.de
15/04/09,Stamm,"Wallenhorst, St. Alexander",wapfi.online
15/04/10,Stamm,"Neuenkirchen, St. Laurentius",-
15/04/22,Stamm,"Stamm Maximilian Kolbe Rulle",pfadfinderrulle.de
16/00/00,Diözese,"Diözesanverband Paderborn",dpsg-paderborn.de
16/01/00,Bezirk,"Bezirk Dortmund",dpsg-dortmund.de
16/01/01,Stamm,"Dortmund-Mitte, St. Franziskus",dpsg-do-mitte.de
